Review_Text,Review,Sentimen_Asli,Sentimen_Prediksi
kecewa sebagai pemain baru gacha char limited sisa 3 velina hari hasil ngumpulin dari 4 hari lalu nyari polychrome gagal dapat kalah 50/50 di pity 90 ga dapat kukira di pity 40/50 sebagai pemain baru sangat kecewa sekali.,kecewa main gacha char limited sisa velina hasil ngumpulin cari polychrome gagal kalah pity tidak kira pity main kecewa,Negative,Negative
gelo gak pelit coyyyy banyakin lagi bansos nya min walau gamenya rada berat😂,gelo tidak pelit coy banyak bansos min rada berat,Negative,Negative
kenapa sih susah banget login doang????,susah login doang,Negative,Negative
"Nice Game, good developer.. thankyou for FIXingy bug",nice good developer thankyou for fixingy bug,Positive,Positive
"cocok buat wong sangean ,bansos banyak karakter nya wangi ,dapet velina 30 pull ,minus lumayan ngeleg kalo grafik agak tinggi tapi gak sampe force close jadi tetep mantap dan semoga gw gak vakum vakuman lagi",cocok sangean bansos karakter wangi velina pull minus lumayan ngeleg grafik tinggi tidak force close mantap moga tidak vakum vakum,Negative,Negative
"tolong optimalisasi performa untuk mobile device, setiap log in drop ke 3-5 fps, dan harus relog jika ingin lancar",tolong optimalisasi performa mobile device log drop fps relog lancar,Negative,Negative
"sebenarnya Bagus Grafik bagus, Pas Fighting Nya juga Bagus Cuman Pas Bagian Cerita Tidak usah panjang panjang",bagus grafik bagus pas fighting bagus cuman pas cerita tidak,Positive,Positive
"ngelag amat, mau battle aja susah jirrr, grafik udah mentok rendah semua masih aja lag.",ngelag battle susah jir grafik mentok rendah lag,Negative,Negative
sebelumnya saya bisa main di 25-30 fps namun sekarang dapat 15 fps saja sudah syukur kenapa begitu ya saya menggunakan device yang sama padahal saya menikmati gamenya namun tolong di optimalkan lagi karna dulu saya bisa main dengan nyaman sekarang main 1 jam saja udah ga kuat karna fps yang drop terus menerus,fps fps syukur device nikmat tolong optimal nyaman jam tidak kuat fps drop terus,Negative,Negative
"jujur aja gamenya udh bagus bagi saya, jadi tak ada kekurangan yang saya sampaikan disini🤭🫰🏻💗💗",jujur bagus tak kurang,Positive,Positive
