Review Text,stemming,tokens,weights,total_score,Sentimen
kecewa sebagai pemain baru gacha char limited sisa 3 velina hari hasil ngumpulin dari 4 hari lalu nyari polychrome gagal dapat kalah 50/50 di pity 90 ga dapat kukira di pity 40/50 sebagai pemain baru sangat kecewa sekali.,kecewa main gacha char limited sisa velina hasil ngumpulin cari polychrome gagal kalah pity tidak kira pity main kecewa,"['kecewa', 'main', 'gacha', 'char', 'limited', 'sisa', 'velina', 'hasil', 'ngumpulin', 'cari', 'polychrome', 'gagal', 'kalah', 'pity', 'tidak', 'kira', 'pity', 'main', 'kecewa']","[0, -2, -3, 0, 0, -4, 0, 3, 0, -3, 0, -4, -4, 0, -5, -2, 0, -2, 0]",-26,Negative
gelo gak pelit coyyyy banyakin lagi bansos nya min walau gamenya rada berat😂,gelo tidak pelit coy banyak bansos min rada berat,"['gelo', 'tidak', 'pelit', 'coy', 'banyak', 'bansos', 'min', 'rada', 'berat']","[-2, -5, -5, 0, -3, -1, 0, 0, -4]",-20,Negative
kenapa sih susah banget login doang????,susah login doang,"['susah', 'login', 'doang']","[-3, 0, -1]",-4,Negative
"Nice Game, good developer.. thankyou for FIXingy bug",nice good developer thankyou for fixingy bug,"['nice', 'good', 'developer', 'thankyou', 'for', 'fixingy', 'bug']","[4, 5, 0, 0, 0, 0, -5]",4,Positive
"cocok buat wong sangean ,bansos banyak karakter nya wangi ,dapet velina 30 pull ,minus lumayan ngeleg kalo grafik agak tinggi tapi gak sampe force close jadi tetep mantap dan semoga gw gak vakum vakuman lagi",cocok sangean bansos karakter wangi velina pull minus lumayan ngeleg grafik tinggi tidak force close mantap moga tidak vakum vakum,"['cocok', 'sangean', 'bansos', 'karakter', 'wangi', 'velina', 'pull', 'minus', 'lumayan', 'ngeleg', 'grafik', 'tinggi', 'tidak', 'force', 'close', 'mantap', 'moga', 'tidak', 'vakum', 'vakum']","[-3, 0, -1, 0, 4, 0, 0, -2, -2, 0, 1, -2, -5, -3, -4, 5, 1, -5, -3, -3]",-22,Negative
"tolong optimalisasi performa untuk mobile device, setiap log in drop ke 3-5 fps, dan harus relog jika ingin lancar",tolong optimalisasi performa mobile device log drop fps relog lancar,"['tolong', 'optimalisasi', 'performa', 'mobile', 'device', 'log', 'drop', 'fps', 'relog', 'lancar']","[-2, -2, -4, 0, 0, 0, -3, -4, 0, -2]",-17,Negative
"sebenarnya Bagus Grafik bagus, Pas Fighting Nya juga Bagus Cuman Pas Bagian Cerita Tidak usah panjang panjang",bagus grafik bagus pas fighting bagus cuman pas cerita tidak,"['bagus', 'grafik', 'bagus', 'pas', 'fighting', 'bagus', 'cuman', 'pas', 'cerita', 'tidak']","[5, 1, 5, 3, 0, 5, 0, 3, -4, -5]",13,Positive
"ngelag amat, mau battle aja susah jirrr, grafik udah mentok rendah semua masih aja lag.",ngelag battle susah jir grafik mentok rendah lag,"['ngelag', 'battle', 'susah', 'jir', 'grafik', 'mentok', 'rendah', 'lag']","[-5, 0, -3, -3, 1, -5, -5, -5]",-25,Negative
sebelumnya saya bisa main di 25-30 fps namun sekarang dapat 15 fps saja sudah syukur kenapa begitu ya saya menggunakan device yang sama padahal saya menikmati gamenya namun tolong di optimalkan lagi karna dulu saya bisa main dengan nyaman sekarang main 1 jam saja udah ga kuat karna fps yang drop terus menerus,fps fps syukur device nikmat tolong optimal nyaman jam tidak kuat fps drop terus,"['fps', 'fps', 'syukur', 'device', 'nikmat', 'tolong', 'optimal', 'nyaman', 'jam', 'tidak', 'kuat', 'fps', 'drop', 'terus']","[-4, -4, 5, 0, 3, -2, 0, 4, 0, -5, -3, -4, -3, 0]",-13,Negative
"jujur aja gamenya udh bagus bagi saya, jadi tak ada kekurangan yang saya sampaikan disini🤭🫰🏻💗💗",jujur bagus tak kurang,"['jujur', 'bagus', 'tak', 'kurang']","[1, 5, 0, -4]",2,Positive
buat login nya aja harus nunggu berjam² baru juga mau main malah di bikin nunggu lama,login tunggu jam bikin tunggu,"['login', 'tunggu', 'jam', 'bikin', 'tunggu']","[0, -2, 0, 0, -2]",-4,Negative
