Review_Text,Review,Sentimen_Asli,Sentimen_Prediksi
ini game bagus asli seneng aku main game ini cuman untuk keluhanku sih kan mengingat game ini pake unity coba kalau bisa yang anti aliasingnya jangan terlalu tebal dong karna jadinya burem banget asli dipoles tapi jangan plus dengan kabutnya karna jadi burem kelihatannya udah itu aja keluhan ku semoga dibaca🙏,bagus asli senang cuman keluh pakai unity coba anti aliasingnya tebal buram asli poles plus kabut buram keluh ku moga baca,Positive,Positive
"aelah hoyo,gak pernah menang rate off gw njer harus rate on terus kalau mau gacha dah lah",alah hoyogak menang rate off njer rate on gacha deh,Negative,Negative
Red pity,red pity,Positive,Positive
gamenya bagus tapi sayang memori saya nangis tiap main ni game🥀🗿,bagus sayang memori menang,Negative,Negative
game cukup oke cuma saat cutscene subtitle nya hilang,oke cutscene subtitle hilang,Negative,Negative
"game bagus, game play bagus alur ga bikin ngantuk jos pokoknya mah",bagus play bagus alur bikin ngantuk jos pokok mah,Negative,Negative
Kurang optimalnya di cip d8050 leg parah pas bettle,optimal cip leg parah pas bettle,Negative,Negative
Keren,keren,Positive,Positive
"Makasih zzz setelah main game ini rasanya kayak tempat pulang pokoknya bagus, baru ketemu game yang bisa se frekuensi makasih 😭",terima kasih pulang pokok bagus ketemu frekuensi terima kasih,Positive,Positive
"karena permainan ini filenya besar , ekspetasi diawal. aku pikir permainan ini bakalan menerapkan dunia terbuka & banyak menyajikan pertarungan yang sulit. tapi kenyataanya berbeda. maaf aku kasih bintang 4. karena aku lebih suka permainan yang lebih menantang seperti genshin impack dll. meskipun permainan ini lumayan menghibur. tapi kurang cocok buat pemain seperti aku. terima kasih.",main filenya ekspetasi awal pikir main terap dunia buka saji tarung sulit kenyataanya beda maaf kasih bintang suka main tantang genshin impack dll main lumayan hibur cocok main terima kasih,Negative,Negative
"Sejauh ini saya sangat suka dari segi gameplay dan lain sebagainya, untuk masalah bug saya masih belum menemukan, tapi ada beberapa hal yang masih bisa di diperbaiki contohnya masalah volume di game yang menurut saya kurang dan juga loading screen yang cukup lama ( entah ini masalah device saya yang kurang atau bukan )",suka segi gameplay bug temu baik contoh volume loading screen device,Positive,Positive
Absolutely,absolutely,Positive,Positive
"Akhirnya mode tv ilang, saran kalo bisa hollow zero yang bunga di ilangin mode tv-nya males banget main hollow zero kalo masih ada mode tv dan kalo bisa bossnya jangan susah"" kasian yang baru main harus nunggu waktu lama biar bisa kelar mode hollownya, terima kasih.",mode tv hilang saran hollow zero bunga ilangin mode tvnya malas hollow zero mode tv bossnya susah kasihan tunggu waktu biar kelar mode hollownya terima kasih,Negative,Negative
best game ever,best ever,Positive,Positive
bagus lah,bagus,Positive,Positive
keren banget sumpah grafik nya memanjakan mata 👀,keren sumpah grafik manja,Negative,Negative
Keren banget game nya the best lah,keren the best,Positive,Positive
best lah😂🤭,best,Positive,Positive
Bagus,bagus,Positive,Positive
game nya perfect semua tapi di tengah cerita game nya Ngefrezee dan berhenti. saya pengguna redmi note 14 5G agak kecewa tiba2 game berhenti dan tidak bisa di main kan.,perfect tengah cerita ngefrezee henti guna redmi note kecewa henti,Negative,Negative
"Udh pling bener main honkai aj Ni game di hp gw yg spekny tinggi aj bisa force close pdhl ga panas lho, Bug nya gila banget",honkai hp spekny tinggi force close panas lho bug gila,Negative,Negative
enjoying the story,enjoying the story,Positive,Positive
Bagus,bagus,Positive,Positive
"Game dengan optimalisasi paling bego ya ini udah, lebih bagus wuwa bahkan ketimbang ini walaupun wuwa banyak yg bilang optimalisasi kurang bagus, di bandingin sama Arknight Enfield jauh lebih bagus AKE yg sama sama pake unity engine modified, bahkan Sekelas NTE yg pake UE5 behh Ultra 60fps tetep gacor, game udh berumur kagak ada perbaikan optimalisasi sama sekali bahkan di chipset Snapdragon 8 gen 2 atau dimensity 8350/8400 tetep stuttering ngos-ngosan kalo kagak di betulin Dev nya bego asli.",optimalisasi bego bagus wuwa ketimbang wuwa bilang optimalisasi bagus banding arknight enfield bagus ake pakai unity engine modified kelas nte pakai ue behh ultra fps gacor umur kagak baik optimalisasi chipset snapdragon gen dimensity stuttering ngosngosan kagak betulin dev bego asli,Negative,Negative
nice,nice,Positive,Positive
"Saya main gi kuat rata kanan 60 fps, hsr sedang 60 fps, game ini rata kiri 60 fps sering force close apalagi buka event atau gacha ngeframe banget sampe force close, tolong untuk grafik bisa diringankan🙏🙏🙏😭",gi kuat rata kanan fps hsr fps rata kiri fps force close buka event gacha ngeframe force close tolong grafik ringan,Negative,Negative
"kenapa setelah update gamenya jadi ngeframe"" padahal pass sebelum update bisa grafik rata kanan lancar, dan setelah update cuma pakek grafik menengah cuma jalan kaki ngeframe"" fps sangat tidak stabil.",update ngeframe pas update grafik rata kanan lancar update pakai grafik tengah jalan kaki ngeframe fps stabil,Positive,Positive
bagussssss ZENLESS ZONE ZERO Aku sukaaa rating ∞∞∞ 😄😄😄😁😄😁😄😁😄😁😄😁😄😄😁😄😄😁😁😁😃😄😃😄😄😄😄😃😃😃😃😃😃😃😃😃😁😃😁😄😄😁😁😄😁😄😁😄,bagus zenless zone zero suka rating,Positive,Positive
Ok,ok,Positive,Positive
"Seru ja gamenya, tpi gachanya keras euy",seru gachanya keras euy,Positive,Positive
"Good game lah hoyoverse buat bansosnya,sistem battlenya sama ui nya yang enak dipandang sama banyakin bansosnya 😀",good hoyoverse bansosnyasistem battlenya ui pandang banyak bansosnya,Positive,Positive
"Overall game nya bagus bgt, dari segi story,battlenya,karakter, dan map nya. minus agak lag di beberapa map cuma masih bisa dimaklumi",overall bagus segi storybattlenyakarakter map minus lag map maklum,Negative,Negative
Ts PEAK,ts peak,Positive,Positive
