Review_Text,Review,Sentimen_Asli,Sentimen_Prediksi
ini game bagus asli seneng aku main game ini cuman untuk keluhanku sih kan mengingat game ini pake unity coba kalau bisa yang anti aliasingnya jangan terlalu tebal dong karna jadinya burem banget asli dipoles tapi jangan plus dengan kabutnya karna jadi burem kelihatannya udah itu aja keluhan ku semoga dibaca🙏,bagus asli senang cuman keluh pakai unity coba anti aliasingnya tebal buram asli poles plus kabut buram keluh ku moga baca,Positive,Positive
Red pity,red pity,Positive,Positive
game cukup oke cuma saat cutscene subtitle nya hilang,oke cutscene subtitle hilang,Negative,Positive
Keren,keren,Positive,Positive
"Makasih zzz setelah main game ini rasanya kayak tempat pulang pokoknya bagus, baru ketemu game yang bisa se frekuensi makasih 😭",terima kasih pulang pokok bagus ketemu frekuensi terima kasih,Positive,Positive
Absolutely,absolutely,Positive,Positive
best game ever,best ever,Positive,Positive
bagus lah,bagus,Positive,Positive
keren banget sumpah grafik nya memanjakan mata 👀,keren sumpah grafik manja,Negative,Positive
Keren banget game nya the best lah,keren the best,Positive,Positive
best lah😂🤭,best,Positive,Positive
Bagus,bagus,Positive,Positive
enjoying the story,enjoying the story,Positive,Positive
Bagus,bagus,Positive,Positive
nice,nice,Positive,Positive
bagussssss ZENLESS ZONE ZERO Aku sukaaa rating ∞∞∞ 😄😄😄😁😄😁😄😁😄😁😄😁😄😄😁😄😄😁😁😁😃😄😃😄😄😄😄😃😃😃😃😃😃😃😃😃😁😃😁😄😄😁😁😄😁😄😁😄,bagus zenless zone zero suka rating,Positive,Positive
Ok,ok,Positive,Positive
"Seru ja gamenya, tpi gachanya keras euy",seru gachanya keras euy,Positive,Positive
"Good game lah hoyoverse buat bansosnya,sistem battlenya sama ui nya yang enak dipandang sama banyakin bansosnya 😀",good hoyoverse bansosnyasistem battlenya ui pandang banyak bansosnya,Positive,Positive
Ts PEAK,ts peak,Positive,Positive
Gamenya unik dan ramah untuk device kentang.. Semoga gamenya terus berkembang..,unik ramah device kentang moga kembang,Positive,Positive
THE BEST.,the best,Positive,Positive
bansos bnyk ty devs,bansos ty devs,Positive,Positive
"Ga sia sia nunggu 2 tahun buat nih masterpiece. Story nya seru, karakternya juga menarik dan gameplay nya juga unik. Harap harap ke depannya bakal lebih banyak bansos dan karakter yang lebih menarikᗜˬᗜ",sia sia tunggu tahun masterpiece story seru karakter tarik gameplay unik harap harap depan bansos karakter tarik,Negative,Positive
mantap!,mantap,Positive,Positive
"ya, sangat suka",suka,Positive,Positive
Mantab,mantab,Positive,Positive
"Semoga kedepannya bisa lebih optimal, untuk masalah kinerja",moga depan optimal kerja,Positive,Positive
best mobile game,best mobile,Positive,Positive
dimohon untuk optimalisasi,mohon optimalisasi,Negative,Positive
tol,tol,Positive,Positive
game mobile yang asik untuk dimainkan,mobile asik main,Positive,Positive
Gameplaynya bagus si. Storynya juga seru cmn ya tv aja agak bosan 😅 diaku,gameplaynya bagus storynya seru cuman tv bosan dia,Positive,Positive
i really like the combat and how straight forward the story is! the amount of polychromes/pulls they give each patch are very generous too ^_^,really like the combat and how straight forward the story is the amount of polychromespulls they give each patch are very generous too,Positive,Positive
aduh sampai kesemutan main nya 🤣,aduh semut,Negative,Positive
aku nak Vivian 😋,nak vivian,Positive,Positive
Sangat cool,cool,Positive,Positive
seruu,seru,Positive,Positive
gw kasih bintang lima klo lagi hoki mahal,kasih bintang hoki mahal,Negative,Positive
Bosenin,bosan,Positive,Positive
4 Jempol,jempol,Positive,Positive
game ini sangat bagus bagi kalian yg wibu,bagus wibu,Positive,Positive
I like this,like this,Positive,Positive
yasssss,yas,Positive,Positive
"Untuk game ini bagus menurut aku bagus malahan grafik ok 😈 game paly bagus, tapi pas game pertama kali rilis gk bisa download tunggu sampai updates 1.1 , kenapa lah hoyo padahal main game ini cuma incar Ellen Joe sama zhu yauan tapi kenapa harus tunggu 🥲 , saran aku sih jika org gk bisa dapat karakter Ellen ama Zhu minimal ada pahse 2 biar enak 🙏😄🗿, segitu aja dulu, emang game terbaik sih gk kaku lagi, jujur agak kecewa 😞, 🙏😄",bagus bagus grafik ok paly bagus pas rilis download tunggu updates hoyo incar ellen joe zhu yauan tunggu saran karakter ellen zhu minimal pahse biar segitu baik kaku jujur kecewa,Positive,Positive
game casual seru,casual seru,Positive,Positive
"game ny bagus animasi ny mulus,bagus,dan gampang.cerita ny aku suka banget semua ny aku suuuuuukaaaaaa thanks hoyoverse☺️☺️☺️☺️☺️😊",bagus animasi mulusbagusdan gampangcerita suka suka thanks hoyoverse,Positive,Positive
sangat menyenangkan dan menghibur dengan jiggle physic nya😋,senang hibur jiggle physic,Positive,Positive
panjang umur game pembaik,umur baik,Positive,Positive
gamenya seru,seru,Positive,Positive
Nice tinggal nunggu bansos lagi 🫡,nice tinggal tunggu bansos,Negative,Positive
Keren,keren,Positive,Positive
"suka banget sama game ny, dari visual bergaya anime, gameplay yg sangat menarik, dan yg paling kusuka dari mekanisme ""parry"" yg sangat satisfying🤩🤩",suka visual gaya anime gameplay tarik suka mekanisme parry satisfying,Positive,Positive
ampass gacha,ampass gacha,Positive,Positive
Ok,ok,Positive,Positive
kita harus memiliki keyakinan yang BESAR~,milik yakin,Positive,Positive
Perangkat tidak kompatibel padahal hp saya sudah memadai,perangkat kompatibel hp pada,Negative,Positive
GAME DERMAWAN SETELAH HSR,dermawan hsr,Positive,Positive
Uwasik pol,uwasik pol,Negative,Positive
I Love This Game,love this,Positive,Positive
"Overall aku suka bgt dgn gameplaynya,story,explorasi,dll cmn yg agak mager di mode tv-nya aj dan tambahin juga dong mode co-op di bos mingguan GK cuman di co-op arkade doang",overall suka gameplaynyastoryexplorasidll cuman mager mode tvnya tambah mode coop bos minggu cuman coop arkade doang,Positive,Positive
Game keren,keren,Positive,Positive
GAME BAIK YANG SANGAT WEW,wew,Positive,Positive
great game,great,Positive,Positive
Gameplay seru dan design karakter-karakter yang sangat bagus,gameplay seru design karakterkarakter bagus,Positive,Positive
