Review_Text,Review,Sentimen_Asli,Sentimen_Prediksi
"Nice Game, good developer.. thankyou for FIXingy bug",nice good developer thankyou for fixingy bug,Positive,Positive
"sebenarnya Bagus Grafik bagus, Pas Fighting Nya juga Bagus Cuman Pas Bagian Cerita Tidak usah panjang panjang",bagus grafik bagus pas fighting bagus cuman pas cerita tidak,Positive,Positive
"jujur aja gamenya udh bagus bagi saya, jadi tak ada kekurangan yang saya sampaikan disini🤭🫰🏻💗💗",jujur bagus tak kurang,Positive,Positive
bagus gamenya saya suka dengan combatnya cepat dan menarik,bagus suka combatnya cepat tarik,Positive,Positive
"game nya sangat keren, fighting nya juga bagus,apa lagi char nya bnyk yg montok jing",keren fighting bagusapa char montok anjing,Positive,Positive
the best game ever🗣️,the best ever,Positive,Positive
i hope you guys stop making new boss with special parry/dodge mechanic. just make it normal with yellow or red line. you can call me skill issue and i'm just casual player who wants to have fun an enjoy the game in normal way.,hope you guys stop making new bos with special parrydodge mechanic just pakai normal with yellow red line you can call me skill issue and im just casual player who wants have fun an enjoy the normal way,Positive,Positive
"nice gameplay, keep going",nice gameplay keep going,Positive,Positive
ok,ok,Positive,Positive
game nya seru banget wok rekomen buat bara wibu yg suka tob lah,seru wok rekomen bara wibu suka tob,Positive,Positive
"yaa overall bagus sih karna saya sempat memainkan versi PC nya juga. jujur ini game bagus, dan juga simple. tolong kedepannya saat update, buat sedikit lebih ringan",overall bagus main versi pc jujur bagus simple tolong depan update ringan,Positive,Positive
gacor king,gacor king,Positive,Positive
"terimakasih atas gameplay yang bagus dan menarik dari game zzz ini, animasinya sangat bagus, story nya bagus, dan juga model karakter nya juga bagus. gamenya memang lebih berat dari pada genshin di karenakan animasi dan fitur gameplay yang ada dalam game nya.... aku sangat suka bagaimana kalian membuat gaya animasi yang sangat unik dan detail sekali menurutku, apalagi ekspresi mereka saya sangat suka sekali terimakasih 🙏🥹",terimakasih gameplay bagus tarik animasi bagus story bagus model karakter bagus berat genshin karena animasi fitur gameplay suka gaya animasi unik detail turut ekspresi suka terimakasih,Positive,Positive
best mobile action,best mobile action,Positive,Positive
1 agen 140 pity,agen pity,Negative,Positive
bagus bet jirr game nyaaa,bagus anjir,Positive,Positive
"overall udah bagus setelah main 1 bulan, dari gamplay nya yang asik, story nya juga lumayan bagus, bansos nya juga banyak,dan dan banyak qolbu, yang kurang mungkin masih ada berbagai bug, yang baru aja ku alamin kemarin karakter gak bisa di gerakin pakek analog, sama kadang rendering nya suka eror harus relog dulu.",overall bagus gamplay asik story lumayan bagus bansos banyakdan qolbu kurang bug ku alamin kemarin karakter tidak gerakin pakai analog kadang rendering suka eror relog,Positive,Positive
game nya bagus mekaniknya seru storynya menarik samangat terus yah hoyo tim.,bagus mekanik seru storynya tarik samangat hoyo tim,Positive,Positive
Semoga pas banner Ramielle bisa gw pulangin,moga pas banner ramielle pulangin,Positive,Positive
grafiknya bagus cuma loading nya lama,grafik bagus loading,Positive,Positive
"dear hoyo, tolong tambahkan fitur reroll penambahan +(+1/2/3) di substat seperti di genshin impact. soalnya terlalu menghabiskan banyak sumber daya kalo harus gacha stat/substat terus di toko musik.",dear hoyo tolong tambah fitur reroll tambah substat genshin impact habis sumber daya gacha statsubstat toko musik,Positive,Positive
bagus bgt,bagus,Positive,Positive
"Salah satu game terbaik yang pernah ada di playstore! Cerita bagus, ramah f2p, banyak event, combat bagus, original soundtrack yang keren, dll. Namun memang sih ini game agak berat dan optimasi nya di android agak kurang dibanding pc & konsol, oh ya btw hp yg gua pake Dimensity 7400 jdi masih aman-aman aja sih di setting med-low walaupun ya menurut gua minimal biar lebih nyaman maen nya pake Dimensity 9000 ke atas atau setara Snapdragon 8 gen 1/2/3/4/5",salah baik playstore cerita bagus ramah fp event combat bagus original soundtrack keren dll berat optimasi android kurang banding pc konsol oh btw hp gua pakai dimensity amanaman setting medlow gua minimal biar nyaman pakai dimensity tara snapdragon gen,Positive,Positive
game nya bagus tapi optimasi nya kureng banget si tapi overall suka ama kalau bisa agak kurangin fan servis nya kek kostum nya contoh promeia kenapa gk bisa dia baju atau pakaian nya kek arlechhino dari gi gitu lah ketutup padahal udh bagus gitu loh,bagus optimasi reng overall suka kurang fan servis kostum contoh promeia tidak baju pakai arlechhino gi tutup bagus loh,Positive,Positive
"bagus baget cuy, disni ada mbg ( My Bini Guweh🗿👌)",bagus cuy mbg my bini guweh,Positive,Positive
"semoga game nya bisa tetep ramah hp mid deh kedepanya, semoga bagus dan unik kedepanya",moga ramah hp mid deh depa moga bagus unik depa,Positive,Positive
gelo bagus bngt njirrrrr,gelo bagus anjir,Positive,Positive
seru dan keren,seru keren,Positive,Positive
peak game,peak,Positive,Positive
memuaskan nafsu player,muas nafsu player,Positive,Positive
game rusak butu di perbaiki,rusak butu baik,Positive,Positive
seru,seru,Positive,Positive
"surat cinta untuk developer terima kasih banyak telah membuat game sebagus ini karena dengan game ini saya punya alasan kedua kenapa aku ada di kamar mandi lama,dan juga ini game punya banyak karakter yang waifuable terutama itu hoshimi miyabi itu tipe aku banget aku",surat cinta developer terima kasih bagus alas kamar mandi lamadan karakter waifuable hoshimi miyabi tipe,Positive,Positive
Games nya sangat Bagus Aku Menyukai Game nya Terus Lah Berkembang,games bagus suka kembang,Positive,Positive
Game bagus,bagus,Positive,Positive
kasih bintang 5 karna emang bagus tapi kenapa setiap login selalu gagal padahal sinyal udah bagus banget malah tolong di perbaiki,kasih bintang bagus login gagal sinyal bagus tolong baik,Positive,Positive
"bintang 3 dulu, tolong perbaiki pemerataan gendernya dong terlalu banyak karakter cewek",bintang tolong baik perata gender karakter cewek,Positive,Positive
"game nya bagus apalagi story tapi ketika di roscaelifer ada masalah yang dimana ketika menggunakan cctv atau bangboo yang terbang layar seketika menjadi putih, abu, dan hitam dan tidak terlihat jelas semoga masalah nya bisa diperbaiki terimakasih",bagus story roscaelifer mana cctv bangboo terbang layar putih abu hitam tidak moga baik terimakasih,Positive,Positive
nice,nice,Positive,Positive
"Udah benar-benar jadi ""gooners bait game"". Story utama Season 2 hancur berantakan. Game kabanyakan coba-coba. Balikin Season 1 yang bagus itu!",benarbenar gooners bait story utama season hancur beranta kabanyakan cobacoba balikin season bagus,Positive,Positive
GAME HOYO TERBAIK,hoyo baik,Positive,Positive
mantap gw dapat karakter tier-S 5 langsung 😜😜😜,mantap karakter tiers,Positive,Positive
hoammm.....,hoam,Positive,Positive
bagus permainan nya,bagus main,Positive,Positive
game sigma njing,sigma njing,Positive,Positive
Ga pernah bagus upgrade Disc,tidak bagus upgrade disc,Positive,Positive
saya suka game ini,suka,Positive,Positive
udah gw uninstall 🥰,uninstall,Positive,Positive
gamenya bagus dan tidak kikir namun saya hanya menginginkan satu hal yaitu user hp bisa suport ui keyboard karena bermain dengan ui hp itu kurang nyaman,bagus tidak kikir user hp suport ui keyboard main ui hp kurang nyaman,Positive,Positive
love it,love,Positive,Positive
sangat sangat lambat pas log in nya,lambat pas log,Positive,Positive
"gamenya bagus tapi kadang² ngelek, dari keseluruhan sudah bagus dan nyaman di mainkan",bagus kadang ngelek bagus nyaman main,Positive,Positive
bagus,bagus,Positive,Positive
BAGUS BGT pler,bagus pler,Positive,Positive
makasih game baik,terima kasih,Positive,Positive
kenapa kok keluar keluar sendiri iya padahal ram lumaya besar,iya ram lumaya,Positive,Positive
ts good,ts good,Positive,Positive
suka keluar sendiri di saat menjalankan event atau quest story makin berat buat hp kelas menengah ke bawah,suka jalan event quest story berat hp kelas tengah,Positive,Positive
good,good,Positive,Positive
ini game udah bagus cuma kurang optimisasi nya,bagus kurang optimisasi,Positive,Positive
tolong perbaiki dulu karena mau baru buka loading malah sering keluar sendiri aku hampir emosi tolong segera perbaiki dulu,tolong baik buka loading emosi tolong baik,Negative,Positive
payah,payah,Positive,Positive
enjoy,enjoy,Positive,Positive
admin rerun miyabi lagi😭,admin rerun miyabi,Positive,Positive
game baik bersize tinggi untuk gerakan animasi yang bagus,bersize tinggi gera animasi bagus,Positive,Positive
"harap"" versi cloud nya rilis:)",harap versi cloud rilis,Positive,Positive
"game nya bagus njir, kayak yang di repost² di platform digital 👍🏻",bagus anjir repost platform digital,Positive,Positive
ver3.0 the best,ver the best,Positive,Positive
"game ini sangat bagus dan menyenangkan, namun semakin bertambah nya update device semakin tidak kuat, aku berharap ada nya optimalisasi untuk player dengan device menengah kebawah, selebihnya game ini sangat seru",bagus senang tambah update device tidak kuat harap optimalisasi player device tengah bawah lebih seru,Positive,Positive
terima kasih zenlesszonezero 😄,terima kasih zenlesszonezero,Positive,Positive
game kikir,kikir,Positive,Positive
semoga lebih optimal lagi,moga optimal,Positive,Positive
"gamenya bagus woilah gameplay seru story seru apalagi desain karakter nya yang hnnggghhhhh sangat wleo wleo, oh iya walau gacha di akunku dapat s-tier nya selalu low pity tapi kalah mulu jierrr",bagus woilah gameplay seru story seru desain karakter hnngh wleo wleo oh iya gacha akun stier low pity kalah mulu jier,Positive,Positive
best lah😂🤭,best,Positive,Positive
yeah!!🌟🌟🌟🌟🌟✨,yeah,Positive,Positive
"Untuk Hoyoverse, Terima kasih banyak karena sudah memberikan subtitle ID untuk game nya❤ semoga ZZZ selalu konsisten dan selalu memberikan story, fitur dan ide menarik dalam pengembangan game nya😁👍, Sukses selalu untuk Hoyoverse dan Terima kasih atas kerja keras nya🔥😁😍👍",hoyoverse terima kasih subtitle id moga konsisten story fitur ide tarik kembang sukses hoyoverse terima kasih keras,Positive,Positive
game yang sangat bagus,bagus,Positive,Positive
best gacha game I've played since forever,best gacha ive played since forever,Positive,Positive
mantap sekaliw,mantap sekaliw,Positive,Positive
"gamplay expedisi nya terlalu membosankan,",gamplay expedisi bosan,Positive,Positive
sangat mantap,mantap,Positive,Positive
best hoyo game,best hoyo,Positive,Positive
"untuk dari segi gameplay, sangat bagus sekali dan menarik, alur ceritanya cukup bagus,",segi gameplay bagus tarik alur cerita bagus,Positive,Positive
cool game,cool,Positive,Positive
"gamenya bagus, tapi tolong tambahkan cutcene panel manga nya🙏",bagus tolong tambah cutcene panel manga,Positive,Positive
gamenya seru,seru,Positive,Positive
grafik gamenya bagus dan agennya juga bagus semua,grafik bagus agen bagus,Positive,Positive
"maaf bagus sih animasi, gameplay, gift dan desain karakter YANG DULU WALAUPUN GOONABLE TAPI MEREKA GA HARUS TERBUKA DAN DESAIN TEMPLATE. sekarang mah HOTPANTS, ASETNYA GEDEIN. sisanya dengerin fans yang pengen karakter cowo lebih banyak mereka juga ada benernya loh.",maaf bagus animasi gameplay gift desain karakter goonable tidak buka desain template mah hotpants aset gedein sisa dengar fan pengin karakter cowok benernya loh,Positive,Positive
I love how you all are so ignorant and denial about criticism of your terrible character design.,love how you all are sok ignorant and denial about criticism of your terrible character design,Positive,Positive
server login nya susah perbaiki!,server login susah baik,Positive,Positive
"I got nothing to say, but I enjoy this game a lot compares to other hoyo game, modern style + arcade type of world I really love this combination.",got nothing sayang but enjoy this lot compares other hoyo modern style arcade type of world really love this combination,Positive,Positive
game nya sangat hd jadi bisa bisa hp saya jadi mesin cukur,hd hp mesin cukur,Positive,Positive
JuFuFu Sangat imut sekali Sama agent lainnya story nya benar benar mantap dan sangat menikmati,jufufu imut agent story mantap nikmat,Positive,Positive
ini game kompatibilitasnya oke banget dah,kompatibilitas oke deh,Positive,Positive
Seru,seru,Positive,Positive
semoga bertahan,moga tahan,Negative,Positive
Berikan Character Yang Mempunyai Aset Yang SANGAT BESAR 😋😋 Dan Menarik Dan Memiliki Skill Yang Unik Dan Menarik Dan Bisa Menjadi DPS Terbaik Saat Dalam Pertempuran Melawan Ether,character aset tarik milik skill unik tarik dps baik tempur lawan ether,Positive,Positive
the best game sih🤭,the best,Positive,Positive
thank you,thank you,Positive,Positive
"Animasi Keren, Alur Seru, Karakter Mantap",animasi keren alur seru karakter mantap,Positive,Positive
gamenya bagus,bagus,Positive,Positive
"1. Story season 2 is absolute MID 2. Banyue, Manato, SBilly got dirty treatment 3. Female character is always being master love bait or same design? don't worry this game just plan B hoyovers when genshin is gonna end soon",story season is absolute mid banyue manato sbilly got dirty treatment female character is always being master love bait same design dont worry this just plan hoyovers when genshin is gon na end soon,Positive,Positive
"overall bagus dari semua aspek, paling yang harus di benerin cuman masalah suttering aja sih karna mau kita pake HP high end juga suttering ini kerasa banget. jadi optimasi lagi di situ aja",overall bagus aspek benerin cuman suttering pakai hp high end suttering rasa optimasi situ,Positive,Positive
bagus,bagus,Positive,Positive
gacor,gacor,Positive,Positive
"best hoyo game inimah, diantara game hoyo yg lain ini yg paling ramah f2p",best hoyo inimah hoyo ramah fp,Positive,Positive
"jujur aja ini bagus bangett tapi yang kurang itu cuman pas ngecek data,ngecek nya lama banget",jujur bagus kurang cuman pas ecek datangecek,Positive,Positive
characters collab when?,characters collab when,Positive,Positive
overall udah bagus lah udah main dari 1.5 sangat memuaskan,overall bagus muas,Positive,Positive
gatcha rateoff 🤡,gatcha rateoff,Positive,Positive
"game ini bagus, dari story, design, map, dll. dari grafiknya sudah bagus, mungkin antileasingnya yang kurang. menurut ku ini game cocok untuk main story, dan game ini harus pake HP/PC spek yang bagus atau lebih tinggi agar saat main TIDAK NGELAG, segitu saja dari ku. mungkin antileasingnya saja yang kurang, terimakasih",bagus story design map dll grafik bagus antileasingnya kurang ku cocok story pakai hppc spek bagus tinggi tidak ngelag segitu ku antileasingnya kurang terimakasih,Positive,Positive
trash,trash,Positive,Positive
banyak MBG saya suka,mbg suka,Positive,Positive
"zzz kok lama download data nya ya di GI ukurannya lebih besar malah cepat, aneh. tapi gamenya bagus dan keren sih",download data gi ukur cepat aneh bagus keren,Positive,Positive
best cuy,best cuy,Positive,Positive
bagus,bagus,Positive,Positive
nice one,nice one,Positive,Positive
terima kasih game baik 😭👍,terima kasih,Positive,Positive
aku nak cloud kek gensin,nak cloud gensin,Positive,Positive
seru,seru,Positive,Positive
game gooners,gooners,Positive,Positive
"i hope this can reach 4,8 at least i love this game",hope this can reach at least love this,Positive,Positive
"Suami furrynya mantap2, tambah lagi Chara furry ya dev",suami furrynya mantap chara furry dev,Positive,Positive
Cerita nya menarik dan gameplay yang menarik,cerita tarik gameplay tarik,Positive,Positive
gemenya seru tapi karna hp ku gak kuat aku kasih bintang 1 dan kasih bintang 5 kalau aku di kasih iPhone 17 pro max,gemenya seru hp ku tidak kuat kasih bintang kasih bintang kasih iphone pro max,Positive,Positive
Game terbaik & Battle terbaik,baik battle baik,Positive,Positive
"saya sangat suka game ini, gameplay cepat, banyak referensi, hadiah yang melimpah dan berbagai mekanik yang sangat seru.",suka gameplay cepat referensi hadiah limpah mekanik seru,Positive,Positive
grafik semi retro yang menarik dan combat style yang unik,grafik semi retro tarik combat style unik,Positive,Positive
Fav game,favorit,Positive,Positive
sangat bagus charakternya,bagus charakternya,Positive,Positive
game baguss gkbkya sebelah,bagus gkbkya belah,Positive,Positive
"ni game bagus banget, karakter bagus semua, gameplay mantepp satisfying, animasi game paling bagus diantara game anime lainnya mau animasi ulti maupun animasi biasanya, story bagus banget pendalaman karakter rapii luar biasa, bansos gratis sangat banyak jadi ramah untuk free to play, translate bahasanya mudah dipahami overall baguss semua, paling perlu ditingkatkan lagi kestabilan gamenya mungkin faktor utamanya pasti divice saya tapi lebih optimalkan lagi dan jaga konsisten storynya sekian",bagus karakter bagus gameplay mantap satisfying animasi bagus anime animasi ulti animasi story bagus dalam karakter rapi bansos gratis ramah free play translate bahasa mudah paham overall bagus tingkat stabil faktor utama divice optimal jaga konsisten storynya sekian,Positive,Positive
grafik enak gemplay juga nyaman kalau main zzz lancar,grafik gemplay nyaman lancar,Positive,Positive
"tolong lah diperbaiki sinyal saat ingin login, saya selalu stack, sinyal saya bagus",tolong baik sinyal login stack sinyal bagus,Positive,Positive
mantap,mantap,Positive,Positive
PERFECT,perfect,Positive,Positive
"Desain karakter akhir-akhir ini kurang menarik buat digacha, aku termasuk suka pull karakter yg menurutku cantik dan punya desain yg bagus, bakal balik main kalo Sigrid playable ✌️",desain karakter akhirakhir kurang tarik digacha suka pull karakter turut cantik desain bagus sigrid playable,Positive,Positive
sangat seru untuk dimainkan 👍,seru main,Positive,Positive
"suka gamenya tapi, gak suka panas : )",suka tidak suka panas,Negative,Positive
i really like the combat and how straight forward the story is! the amount of polychromes/pulls they give each patch are very generous too ^_^,really like the combat and how straight forward the story is the amount of polychromespulls they give each patch are very generous too,Positive,Positive
Peak game ✋😎🤚,peak,Positive,Positive
"wih gamenya, keren gak ada obat. grafiknya bagus, dan hd, banyak karakternya, sampe bisa dapat karakter s rank, dan gameplaynya cukup Gambang, ditambah alur ceritanya seru🔥😍",wih keren tidak obat grafik bagus hd karakter karakter rank gameplaynya gambang tambah alur cerita seru,Positive,Positive
"Sekali sekali rilis karakter tuh yang desainnya elegan gitu lohh, males banget",rilis karakter tuh desain elegan lo malas,Positive,Positive
good,good,Positive,Positive
"Dri segi gameplay, story, udh bgus bngt, minesnya di model character, tolong blikin model char yg lebih bervariasi + tertutup seperti season 1 dulu, sama perbanyak char cowo. Udh sih itu aja ✌️.",segi gameplay story bagus mes model character tolong blikin model char variasi tutup season banyak char cowok,Positive,Positive
kikir banget jir,kikir jir,Positive,Positive
untuk story 2.8 terbilang cukup bagus tolong pertahankan story kaya gini kedepan nya,story bilang bagus tolong tahan story depan,Positive,Positive
"game tergokil dari yang tergokill, bikin update yang baguss terusa Yakk dan banyakin event gratis yang menguntungkan player gratisan😹😹",tergokil tergokill bikin update bagus rusa banyak event gratis untung player gratis,Positive,Positive
"game nya bagus optimalisasi nya ok,cuman kurang pas main ye shuan aja kadang frame drop kalau main dia,sisanya dah ok",bagus optimalisasi okcuman kurang pas ye shuan kadang frame drop diasisanya deh ok,Positive,Positive
"game rpg semi open paling seru menurut gw, top bintang 5",rpg semi open seru top bintang,Positive,Positive
i love this game,love this,Positive,Positive
"Gamenya bagus , mudah Pity yg bagus setelah 90 spin lebih",bagus mudah pity bagus spin,Positive,Positive
"Combat nya seru sih, cmn kadang suka ngcrash -_'",combat seru cuman kadang suka ngcrash,Positive,Positive
Tolong desain Lady Sunbringer diperbaiki,tolong desain lady sunbringer baik,Positive,Positive
grafik bagus optimalisasi juga bagus mekanik mudah dipelajari dan tidak kikir,grafik bagus optimalisasi bagus mekanik mudah ajar tidak kikir,Positive,Positive
bagus,bagus,Positive,Positive
"panjang""game baik",panjanggame,Positive,Positive
bagus untuk story dan lainnya... untuk kedepannya bisa lebih ditambah lagi untuk eventnya,bagus story depan tambah eventnya,Positive,Positive
"udah setahun main ni game dan jujur untuk pengalaman yang lumayan lama bagi saya game nya sangat baguss, saya sangat suka dengan combat, story, dan agent""nya, pokoknya game nya sngat baguss dan rekomend untuk yang mau cobainn👍",tahun jujur alam lumayan bagus suka combat story agentnya pokok sngat bagus rekomend cobainn,Positive,Positive
"Oke ini sekarang udh keren bangettttt!!! sumpah saya gak bisa berkata-kata dalam game ini, heronya, storynya, pokokmen itu detail dan apik pwoll",oke keren sumpah tidak berkatakata hero storynya pokokmen detail apik pwoll,Positive,Positive
"Game nya sangat bagus, Gameplay nya menarik, Karakter2 nya mantap... optimalisasi lagi dong, biar makin Joss",bagus gameplay tarik karakter mantap optimalisasi biar joss,Positive,Positive
absolute goon 10/10,absolute goon,Positive,Positive
mantap. saya suka story di versi 2.8 ini. penutup yang sangat mantap! semoga kedepanya penulisan cerita zzz semakin bagus seperti ini tidak bertele-tele dan berbelit-belit lagi.,mantap suka story versi tutup mantap moga depa tulis cerita bagus tidak berteletele berbelitbelit,Positive,Positive
bagus,bagus,Positive,Positive
ini game terbaik menurut ku sih soalnya menurut ku story nya keren apalagi banyak bansos,baik ku ku story keren bansos,Positive,Positive
all good,all good,Positive,Positive
"My first rating is 5, i played from 1.0 patch, and now i think i give it 2, My reason is because the character design is too monotonous and changes the existing initial design such as Lady Sunbringer, I hope the developer listens to the player's opinion and makes improvements.",my first rating is played from patch and now think give my reason is because the character design is too monotonous and changes the existing initial design such as lady sunbringer hope the developer listens the players opinion and makes improvements,Positive,Positive
bagus,bagus,Positive,Positive
Nice Game,nice,Positive,Positive
Nice game,nice,Positive,Positive
udah bagus banget,bagus,Positive,Positive
terus tingkatkan kualitas operasionalnya biar hp menengah masih bisa main,tingkat kualitas operasional biar hp tengah,Positive,Positive
"suka banget sama combatnya, parry nya juga candu banget, event nya juga seru seru, suka banget sama ini game",suka combatnya parry candu event seru seru suka,Positive,Positive
Absolute Gameplay,absolute gameplay,Positive,Positive
"Jujur ini salah satu game terbaik yang pernah saya mainkan☺. Tapi saya juga heran dengan orang yang complain karena desain karakter yang tidak sesuai dengan harapan mereka, padahal karakternya aja belum rilis tapi udah diprotes ama dia😒. Orang kek gitu banyak maunya. Intinya game ini baguslah👍, cuman beberapa pemainnya ada yang banyak mau.",jujur salah baik main heran complain desain karakter tidak sesuai harap karakter belum rilis protes mau inti bagus cuman main,Negative,Positive
semuanya sudah bagus hanya saja semenjak sekarang telah di tetapkan top up region lock saya jadi tidak sanggup top up lagi karena kemahalan🥹,bagus semenjak tetap top up region lock tidak sanggup top up mahal,Positive,Positive
game terkeren menurut ku,keren ku,Positive,Positive
"comeback buat liat sekeren apa lady sunbringer malah dikasih yang terbuka , bintang 5 ntr kalo pas rilis jadi lebih keliatan baddas sunbringer nya",comeback keren lady sunbringer kasih buka bintang entar pas rilis baddas sunbringer,Positive,Positive
"repetitive design, lack of diversity of character, worst balancing endgame, worst balancing character's powers, too many false advertising",repetitive design lack of diversity of character worst balancing endgame worst balancing characters powers too many false advertising,Positive,Positive
low device is not allowed 😭,low device is not allowed,Positive,Positive
ABSOLUTE PEAKKKKK,absolute peak,Positive,Positive
game kontol,kontol,Negative,Positive
bagus,bagus,Positive,Positive
"Would love to play this game again when they finally work with the character designs. It used to be unique,but noooo they just have to make it all just copy and paste. I don't mind a revealing character, but hyv needs to understand that a character can be fully covered up and still loved by many because of that character itself. Take a look at firefly and how much people loved her since her very first appearance in hsr. I hope ZZZ will get back to their unique charms again.",would love play this again when they finally work with the character designs used be uniquebut no they just have pakai all just copy and paste dont mind revealing character but hyv needs understand that character can be fully covered up and still loved by many because of that character itself take look at firefly and how much people loved her since her very first appearance hsr hope will get back their unique charms again,Positive,Positive
"baru saja meliat apa yang akan saya hadapi di Season 3, tolong perbaiki desain karaktermu itu, dengarkan fanbase mu yang mengkritik dengan bagus, hal ini membuat saya makin malas untuk bermain dengan desain baru yang generik itu",liat hadap season tolong baik desain karakter dengar fanbase mu kritik bagus malas main desain generik,Positive,Positive
"desain karakter makin nguawur, makin telanjang. ini game dah menjauh dari core design art style ny",desain karakter nguawur telanjang deh jauh core design art style,Positive,Positive
DESAIN KARAKTERNYA BAGUS BGT😋😋😋,desain karakter bagus,Positive,Positive
FIX YOUR DESIGN! WE ARE NOT GOONERS,fix your design we are not gooners,Positive,Positive
udh jadi gim gooner,gim gooner,Positive,Positive
