"No","User ID","Rating","Date","Review Text"
"1","U-2026-001","5","21/06/2026","sayang bgt susah buat mapping, pake gamepad gak kebacaa"
"2","U-2026-002","2","21/06/2026","sangat sangat lambat pas log in nya"
"3","U-2026-003","5","21/06/2026","gamenya bagus tapi kadang² ngelek, dari keseluruhan sudah bagus dan nyaman di mainkan"
"4","U-2026-004","1","21/06/2026","Kepada developer saya kembali mendownload zenless zone zero di HP lain tapi ketika saya ingin login ke akun saya muncul tulisan ""terlalu banyak permintaan, silahkan perbarui halaman dan coba kembali setelah beberapa saat"" maksud tulisan tersebut apa? saya sudah muat ulang gamenya dan tunggu beberapa saat, liat informasi updatenya masih update terbaru, mohon untuk di bantu. aku kangen bermain Zenless Zone Zero, sudah lebih dari seminggu tidak aku mainkan."
"5","U-2026-005","4","21/06/2026","bagus saya suka,hanya saja sistem gachanya terlalu susah"
"6","U-2026-006","1","21/06/2026","This game is getting uglier every season not just optimization but also the characters design and don't know why y'all keep forgot about your game is targeted to mobile player but I'm getting laggy soo bad when I just walked around new map. THE CHARACTERS IS UGLY AND HELLA DISSAPOINTED I'M STAYING THIS GAME FOR SEVARIAN LOWELL ONLY"
"7","U-2026-007","1","21/06/2026","Snapdragon 860 perangkat tidak. kompetibel?? secara gameplay msh lancar akwwkkw lawak lawak"
"8","U-2026-008","1","21/06/2026","banyak bug, optimalisasi yang buruk, saat saya mengerjakan ""main quest"" saya terkena bug dan tidak dapat petunjuk quest kemudian saya tidak dapat keluar dari area quest."
"9","U-2026-009","5","21/06/2026","bagus"
"10","U-2026-010","3","21/06/2026","tolong ini udh tahun 2026 tapi masih lag sekali, kita para mid end butuh optimisasi dikarenakan ngelag bgt, diusahakan next update di optimisasi"
"11","U-2026-011","5","21/06/2026","BAGUS BGT pler"
"12","U-2026-012","4","21/06/2026","makasih game baik"
"13","U-2026-013","5","21/06/2026","So far 3.0 has provided very good improvements in terms of story and animation. Thank you for listening and accepting our criticism. I hope zzz will be even better in the future. Good job, Hoyoverse. 😁👍🏻"
"14","U-2026-014","2","21/06/2026","semenjak update season baru gamenya gak optimal, sering ngebug seperti analog nya hilang, stuck, bahkan sampe force closed. Semoga cepat dibenerin."
"15","U-2026-015","4","21/06/2026","sering freeze terus force close, banyak bug black screen"
"16","U-2026-016","4","20/06/2026","ayo lah. jangan lah membuat karakter yang bisa di pelintir menjadi meme yang ngwawur. lihat itu fandom fandom nya (please devoloper buatlah karakter yang waras sedikit)"
"17","U-2026-017","1","20/06/2026","Gak pernah menang rate off😭"
"18","U-2026-018","2","20/06/2026","saat ingin memainkan game, ketika loading screen login tiba-tiba keluar tidak jelas. padahal ram dan storage masih banyak. padahal memakai device samsung s25fe"
"19","U-2026-019","1","20/06/2026","kenapa kok keluar keluar sendiri iya padahal ram lumaya besar"
"20","U-2026-020","2","20/06/2026","Story nya bagus, banyak minigame menarik ama misi sampingan yang gak ngantuk. tapi ya gitu, sistem gacha nya. udah grinding mati matian dapet nya malah karakter tier S yang sama sekali gak kubutuhkan, nyari polychrome disini susah nya bukan main, bener bener harus tryhard parah buat dapetin polychrome yang banyak. Event juga kebanyakan boring ama gak menarik, cuma sebagian doang yang seru. udah gitu design char yang sekarang juga parah, gak kayak char terdahulu yang nyatu ama tema di game."
"21","U-2026-021","5","20/06/2026","ts good"
"22","U-2026-022","1","20/06/2026","update baru, device sudah flagship tapi masih sering force close, stuck di 75% n login game terus ofrce close, optimalisasi buruk, sebelum update season 3 aman² saja, setelah update jadi makin bobrok"
"23","U-2026-023","3","20/06/2026","suka keluar sendiri di saat menjalankan event atau quest story makin berat buat hp kelas menengah ke bawah"
"24","U-2026-024","5","20/06/2026","good"
"25","U-2026-025","3","20/06/2026","Sebagai game dengan rating usia remaja (12+), pendekatan visual pada beberapa desain karakter cewek dirasa terlalu mengeksploitasi aspek fanservice secara berlebihan. Proporsi fisik dan animasi yang terlalu dilebih-lebihkan sering kali justru mengganggu fokus pemain dari kualitas mekanisme bertarung (combat) dan world-building yang sebenarnya sudah dieksekusi dengan sangat baik. visualnya juga baik,jadi menurutku sebagian pemain akan terlalu fokus pada fansservice daripada pada plot utama game."
"26","U-2026-026","5","20/06/2026","game sepesial bagi gw😍(bansos nya akeh tenan,pity nggak pelit) plis lah perbaiki optimasi nya 😭"
"27","U-2026-027","5","20/06/2026","ini game udah bagus cuma kurang optimisasi nya"
"28","U-2026-028","1","20/06/2026","UBAH DESAIN 3.0 SANGAT JELEK, TAKKAN NAIK RATING SAMPAI D3SAIN BERUBAH SEPERTI SEMESTINYA"
"29","U-2026-029","4","20/06/2026","tolong perbaiki dulu karena mau baru buka loading malah sering keluar sendiri aku hampir emosi tolong segera perbaiki dulu"
"30","U-2026-030","1","20/06/2026","always hard pity when gacha and lose 50/50"
"31","U-2026-031","1","20/06/2026","loading lama minta ampun"
"32","U-2026-032","2","20/06/2026","gamenya sudah bagus, mekanisme dan segalanya memang ga usah diraguin lagi. Cuma masalahnya itu cuma di optmialisasinya, hape saya sering banget force close akhir akhir ini saya juga ga tau apa masalahnya. Jadi saya kasih bintang 2 dulu, kalau masalahnya udah dibenerin baru saya kasih bintang 5👌 -sama plis kasih lebih banyak polychrome gratis😁"
"33","U-2026-033","1","19/06/2026","framedrop saya masih terima, gacha sulit saya masih terima, tapi sekarang Dev merubah desain dari void Hunter legendaris Lady Sunbringer! KALIAN MERUSAK GAME KESAYANGANKU! saya merasa ini akan menjadi anniversary buruk dibanding dengan anniversary sebelumnya, menyedihkan. sunbringer sebelumnya terlihat sangat berwibawa, terlihat seperti pemimpin yang akan mengerahkan jutaan pasukan untuk melumpuhkan satu desa. tapi desain baru terlihat seperti mommy yang haus kasih sayang seorang pria kurus wise"
